stationName	subwayLine	location	latitude	longitude
송파나루역	9호선		37.510372	127.112216
수락산역	7호선		37.67785	127.055315
수리산역	4호선		37.349801	126.925365
수서역	3호선		37.487378	127.101907
수원역	1호선		37.266348	126.999561
수유역	4호선		37.638052	127.025732
수진역	8호선		37.437428	127.140722
숙대입구역	4호선		37.54456	126.972106
숭실대입구역	7호선		37.496029	126.953822
시청역	1호선, 2호선		37.565715	126.977088
신금호역	5호선		37.554548	127.020331
신길역	1호선, 5호선		37.516862	126.917865
신길온천역	4호선		37.338212	126.765844
신내역	6호선		37.613174	127.102231
신논현역	9호선		37.504598	127.02506
신답역	2호선		37.57004	127.046481
신당역	2호선, 6호선		37.56564	127.019614
신대방역	2호선		37.487462	126.913149
신대방삼거리역	7호선		37.499701	126.928276
신도림역	1호선, 2호선		37.508787	126.891144
신림역	2호선		37.484201	126.929715
신목동역	9호선		37.544277	126.88308
신반포역	9호선		37.503415	126.995925
신방화역	9호선		37.567532	126.816601
신사역	3호선		37.516334	127.020114
신설동역	1호선, 2호선		37.576048	127.024634
신용산역	4호선		37.52917	126.967894
신이문역	1호선		37.601854	127.067325
신정역	5호선		37.524997	126.856191
신정네거리역	2호선		37.520074	126.852912
신중동역	7호선		37.503048	126.77596
신창역	1호선		36.769502	126.951108
신촌역	2호선		37.555131	126.936926
신풍역	7호선		37.50008	126.90993
신흥역	8호선		37.440918	127.147564
쌍문역	4호선		37.648627	127.034709
쌍용역	1호선		36.793759	127.1214
아산역	1호선		36.792053	127.104361
아차산역	5호선		37.551691	127.089761
아현역	2호선		37.557345	126.956141
안국역	3호선		37.576477	126.985443
안산역	4호선		37.327082	126.788532
안암역	6호선		37.586272	127.029005
안양역	1호선		37.401592	126.922874
암사역	8호선		37.55021	127.127562
암사역사공원역	8호선		37.55695	127.13702
압구정역	3호선		37.527072	127.028461
애오개역	5호선		37.553736	126.95682
약수역	3호선, 6호선		37.554867	127.010541
양재역	3호선		37.484477	127.033902
양주역	1호선		37.774381	127.044708
양천구청역	2호선		37.512398	126.865819
양천향교역	9호선		37.568381	126.841333
양평역	5호선		37.525569	126.886129
어린이대공원역	7호선		37.548014	127.074658
언주역	9호선		37.507287	127.033868
여의나루역	5호선		37.527098	126.932901
여의도역	5호선, 9호선		37.521747	126.924357
역곡역	1호선		37.485178	126.811502
역삼역	2호선		37.500622	127.036456
역촌역	6호선		37.606021	126.922744
연신내역	3호선, 6호선		37.619229	126.921038
연천역	1호선		38.10073	127.07372
염창역	9호선		37.546936	126.874916
영등포역	1호선		37.515504	126.907628
영등포구청역	2호선, 5호선		37.525706	126.89661
영등포시장역	5호선		37.522669	126.905139
오금역	3호선, 5호선		37.502129	127.128319
오남역	4호선		37.705	127.19281
오류동역	1호선		37.494526	126.845365
오목교역	5호선		37.524496	126.875181
오산역	1호선		37.145885	127.06672
오산대역	1호선		37.168953	127.063197
오이도역	4호선		37.362357	126.738714
옥수역	3호선		37.541684	127.017269
온수역	1호선, 7호선		37.492433	126.824086
온양온천역	1호선		36.780483	127.003249
올림픽공원역	5호선, 9호선		37.516201	127.130923
왕십리역	2호선, 5호선		37.561238	127.036954
외대앞역	1호선		37.596073	127.063549
용답역	2호선		37.561904	127.050899
용두역	2호선		37.574028	127.038091
용마산역	7호선		37.573647	127.086727
용산역	1호선		37.529849	126.964561
우장산역	5호선		37.548768	126.836318
원당역	3호선		37.653324	126.843041
원흥역	3호선		37.650658	126.872642
월계역	1호선		37.633212	127.058831
월곡역	6호선		37.601948	127.041518
월드컵경기장역	6호선		37.569532	126.899298
을지로3가역	2호선, 3호선		37.566306	126.991696
을지로4가역	2호선, 5호선		37.566595	126.997817
을지로입구역	2호선		37.566014	126.982618
응암역	6호선		37.598605	126.915577
의왕역	1호선		37.320852	126.948217
의정부역	1호선		37.738415	127.045958
이대역	2호선		37.556733	126.946013
이촌역	4호선		37.522295	126.974733
이태원역	6호선		37.534488	126.994302
인덕원역	4호선		37.401553	126.976715
인천역	1호선		37.476079	126.616801
일원역	3호선		37.483681	127.08439
자양역	7호선		37.53154	127.066704
잠실역	2호선, 8호선		37.513262	127.100159
잠실나루역	2호선		37.520733	127.10379
잠실새내역	2호선		37.511687	127.086162
잠원역	3호선		37.512759	127.01122
장승배기역	7호선		37.504898	126.93915
장암역	7호선		37.700109	127.053196
장자호수공원역	8호선		37.58738	127.13794
장지역	8호선		37.478703	127.126191
장한평역	5호선		37.56144	127.064623
전곡역	1호선		38.02458	127.0718
정발산역	3호선		37.659477	126.773359
정부과천청사역	4호선		37.426513	126.98978
정왕역	4호선		37.351735	126.742989
제기동역	1호선		37.578103	127.034893
제물포역	1호선		37.466769	126.656666
종각역	1호선		37.570161	126.982923
종로3가역	1호선, 3호선, 5호선		37.570406	126.991847
종로5가역	1호선		37.570926	127.001849
종합운동장역	2호선, 9호선		37.511022	127.073704
주안역	1호선		37.465047	126.679742
주엽역	3호선		37.670072	126.761334
중계역	7호선		37.644583	127.064303
중곡역	7호선		37.565923	127.08432
중동역	1호선		37.486562	126.764843
중앙역	4호선		37.315941	126.838573
중앙보훈병원역	9호선		37.529191	127.148739
중화역	7호선		37.602545	127.079264
증미역	9호선		37.557402	126.861939
증산역	6호선		37.583876	126.909645
지축역	3호선		37.648033	126.913917
지행역	1호선		37.892334	127.055716
직산역	1호선		36.870593	127.143904
진위역	1호선		37.109447	127.062278
진접역	4호선		37.7205	127.2034
창동역	1호선, 4호선		37.653088	127.047274
창신역	6호선		37.579661	127.015241
천안역	1호선		36.810005	127.146826
천왕역	7호선		37.486637	126.838713
천호역	5호선, 8호선		37.53864	127.123308
철산역	7호선		37.47605	126.867911
청구역	5호선, 6호선		37.560276	127.013639
청담역	7호선		37.519365	127.05335
청량리역	1호선		37.579956	127.044585
청산역	1호선		37.98172	127.06912
초지역	4호선		37.320646	126.805913
총신대입구(이수)역	4호선, 7호선		37.486263	126.981989
춘의역	7호선		37.503663	126.787036
충무로역	3호선, 4호선		37.56143	126.994072
충정로역	2호선, 5호선		37.559704	126.964378
탕정역	1호선		36.78866	127.08485
태릉입구역	6호선, 7호선		37.617338	127.074735
평촌역	4호선		37.394287	126.963883
평택역	1호선		36.990726	127.085159
평택지제역	1호선		37.0188	127.070444
하계역	7호선		37.636352	127.06799
하남검단산역	5호선		37.53972	127.22345
하남시청역	5호선		37.54205	127.20612
하남풍산역	5호선		37.552034	127.203864
학동역	7호선		37.514229	127.031656
학여울역	3호선		37.496663	127.070594
한강진역	6호선		37.539631	127.001725
한대앞역	4호선		37.309689	126.85344
한성대입구역	4호선		37.588458	127.006221
한성백제역	9호선		37.516404	127.116503
한양대역	2호선		37.555273	127.043655
합정역	2호선, 6호선		37.549457	126.913808
행당역	5호선		37.557322	127.029476
혜화역	4호선		37.582336	127.001844
홍대입구역	2호선		37.55679	126.923708
홍제역	3호선		37.589066	126.943736
화곡역	5호선		37.541513	126.840461
화랑대역	6호선		37.620064	127.084689
화서역	1호선		37.283862	126.989627
화정역	3호선		37.634592	126.83265
회기역	1호선		37.58946	127.057583
회룡역	1호선		37.724416	127.04736
회현역	4호선		37.558514	126.978246
효창공원앞역	6호선		37.539233	126.961384
흑석역	9호선		37.50877	126.963708
